frame,x,y,z,x_rot,y_rot,z_rot
1,0.0,0.0,0.0,1.5707963705062866,-0.0,1.5707963705062866
2,0.0,0.07537688314914703,0.0,1.5707963705062866,-0.0,1.5707963705062866
3,0.0,0.15075376629829407,0.0,1.5707963705062866,-0.0,1.5707963705062866
4,0.0,0.2261306494474411,0.0,1.5707963705062866,-0.0,1.5707963705062866
5,0.0,0.30150753259658813,0.0,1.5707963705062866,-0.0,1.5707963705062866
6,0.0,0.37688443064689636,0.0,1.5707963705062866,-0.0,1.5707963705062866
7,0.0,0.4522612988948822,0.0,1.5707963705062866,-0.0,1.5707963705062866
8,0.0,0.5276381969451904,0.0,1.5707963705062866,-0.0,1.5707963705062866
9,0.0,0.6030150651931763,0.0,1.5707963705062866,-0.0,1.5707963705062866
10,0.0,0.6783919334411621,0.0,1.5707963705062866,-0.0,1.5707963705062866
11,0.0,0.7537688612937927,0.0,1.5707963705062866,-0.0,1.5707963705062866
12,0.0,0.8291457295417786,0.0,1.5707963705062866,-0.0,1.5707963705062866
13,0.0,0.9045225977897644,0.0,1.5707963705062866,-0.0,1.5707963705062866
14,0.0,0.979899525642395,0.0,1.5707963705062866,-0.0,1.5707963705062866
15,0.0,1.0552763938903809,0.0,1.5707963705062866,-0.0,1.5707963705062866
16,0.0,1.1306532621383667,0.0,1.5707963705062866,-0.0,1.5707963705062866
17,0.0,1.2060301303863525,0.0,1.5707963705062866,-0.0,1.5707963705062866
18,0.0,1.2814069986343384,0.0,1.5707963705062866,-0.0,1.5707963705062866
19,0.0,1.3567838668823242,0.0,1.5707963705062866,-0.0,1.5707963705062866
20,0.0,1.4321608543395996,0.0,1.5707963705062866,-0.0,1.5707963705062866
21,0.0,1.5075377225875854,0.0,1.5707963705062866,-0.0,1.5707963705062866
22,0.0,1.5829145908355713,0.0,1.5707963705062866,-0.0,1.5707963705062866
23,0.0,1.6582914590835571,0.0,1.5707963705062866,-0.0,1.5707963705062866
24,0.0,1.733668327331543,0.0,1.5707963705062866,-0.0,1.5707963705062866
25,0.0,1.8090451955795288,0.0,1.5707963705062866,-0.0,1.5707963705062866
26,0.0,1.8844220638275146,0.0,1.5707963705062866,-0.0,1.5707963705062866
27,0.0,1.95979905128479,0.0,1.5707963705062866,-0.0,1.5707963705062866
28,0.0,2.0351758003234863,0.0,1.5707963705062866,-0.0,1.5707963705062866
29,0.0,2.1105527877807617,0.0,1.5707963705062866,-0.0,1.5707963705062866
30,0.0,2.185929536819458,0.0,1.5707963705062866,-0.0,1.5707963705062866
31,0.0,2.2613065242767334,0.0,1.5707963705062866,-0.0,1.5707963705062866
32,0.0,2.336683511734009,0.0,1.5707963705062866,-0.0,1.5707963705062866
33,0.0,2.412060260772705,0.0,1.5707963705062866,-0.0,1.5707963705062866
34,0.0,2.4874372482299805,0.0,1.5707963705062866,-0.0,1.5707963705062866
35,0.0,2.5628139972686768,0.0,1.5707963705062866,-0.0,1.5707963705062866
36,0.0,2.638190984725952,0.0,1.5707963705062866,-0.0,1.5707963705062866
37,0.0,2.7135677337646484,0.0,1.5707963705062866,-0.0,1.5707963705062866
38,0.0,2.788944721221924,0.0,1.5707963705062866,-0.0,1.5707963705062866
39,0.0,2.864321708679199,0.0,1.5707963705062866,-0.0,1.5707963705062866
40,0.0,2.9396984577178955,0.0,1.5707963705062866,-0.0,1.5707963705062866
41,0.0,3.015075445175171,0.0,1.5707963705062866,-0.0,1.5707963705062866
42,0.0,3.090452194213867,0.0,1.5707963705062866,-0.0,1.5707963705062866
43,0.0,3.1658291816711426,0.0,1.5707963705062866,-0.0,1.5707963705062866
44,0.0,3.241205930709839,0.0,1.5707963705062866,-0.0,1.5707963705062866
45,0.0,3.3165829181671143,0.0,1.5707963705062866,-0.0,1.5707963705062866
46,0.0,3.3919599056243896,0.0,1.5707963705062866,-0.0,1.5707963705062866
47,0.0,3.467336654663086,0.0,1.5707963705062866,-0.0,1.5707963705062866
48,0.0,3.5427136421203613,0.0,1.5707963705062866,-0.0,1.5707963705062866
49,0.0,3.6180903911590576,0.0,1.5707963705062866,-0.0,1.5707963705062866
50,0.0,3.693467378616333,0.0,1.5707963705062866,-0.0,1.5707963705062866
51,0.0,3.7688441276550293,0.0,1.5707963705062866,-0.0,1.5707963705062866
52,0.0,3.8442211151123047,0.0,1.5707963705062866,-0.0,1.5707963705062866
53,0.0,3.91959810256958,0.0,1.5707963705062866,-0.0,1.5707963705062866
54,0.0,3.9949748516082764,0.0,1.5707963705062866,-0.0,1.5707963705062866
55,0.0,4.070351600646973,0.0,1.5707963705062866,-0.0,1.5707963705062866
56,0.0,4.145728588104248,0.0,1.5707963705062866,-0.0,1.5707963705062866
57,0.0,4.221105575561523,0.0,1.5707963705062866,-0.0,1.5707963705062866
58,0.0,4.296482563018799,0.0,1.5707963705062866,-0.0,1.5707963705062866
59,0.0,4.371859073638916,0.0,1.5707963705062866,-0.0,1.5707963705062866
60,0.0,4.447236061096191,0.0,1.5707963705062866,-0.0,1.5707963705062866
61,0.0,4.522613048553467,0.0,1.5707963705062866,-0.0,1.5707963705062866
62,0.0,4.597990036010742,0.0,1.5707963705062866,-0.0,1.5707963705062866
63,0.0,4.673367023468018,0.0,1.5707963705062866,-0.0,1.5707963705062866
64,0.0,4.748743534088135,0.0,1.5707963705062866,-0.0,1.5707963705062866
65,0.0,4.82412052154541,0.0,1.5707963705062866,-0.0,1.5707963705062866
66,0.0,4.8994975090026855,0.0,1.5707963705062866,-0.0,1.5707963705062866
67,0.0,4.974874496459961,0.0,1.5707963705062866,-0.0,1.5707963705062866
68,0.0,5.050251483917236,0.0,1.5707963705062866,-0.0,1.5707963705062866
69,0.0,5.1256279945373535,0.0,1.5707963705062866,-0.0,1.5707963705062866
70,0.0,5.201004981994629,0.0,1.5707963705062866,-0.0,1.5707963705062866
71,0.0,5.276381969451904,0.0,1.5707963705062866,-0.0,1.5707963705062866
72,0.0,5.35175895690918,0.0,1.5707963705062866,-0.0,1.5707963705062866
73,0.0,5.427135467529297,0.0,1.5707963705062866,-0.0,1.5707963705062866
74,0.0,5.502512454986572,0.0,1.5707963705062866,-0.0,1.5707963705062866
75,0.0,5.577889442443848,0.0,1.5707963705062866,-0.0,1.5707963705062866
76,0.0,5.653266429901123,0.0,1.5707963705062866,-0.0,1.5707963705062866
77,0.0,5.728643417358398,0.0,1.5707963705062866,-0.0,1.5707963705062866
78,0.0,5.804019927978516,0.0,1.5707963705062866,-0.0,1.5707963705062866
79,0.0,5.879396915435791,0.0,1.5707963705062866,-0.0,1.5707963705062866
80,0.0,5.954773902893066,0.0,1.5707963705062866,-0.0,1.5707963705062866
81,0.0,6.030150890350342,0.0,1.5707963705062866,-0.0,1.5707963705062866
82,0.0,6.105527400970459,0.0,1.5707963705062866,-0.0,1.5707963705062866
83,0.0,6.180904388427734,0.0,1.5707963705062866,-0.0,1.5707963705062866
84,0.0,6.25628137588501,0.0,1.5707963705062866,-0.0,1.5707963705062866
85,0.0,6.331658363342285,0.0,1.5707963705062866,-0.0,1.5707963705062866
86,0.0,6.4070353507995605,0.0,1.5707963705062866,-0.0,1.5707963705062866
87,0.0,6.482411861419678,0.0,1.5707963705062866,-0.0,1.5707963705062866
88,0.0,6.557788848876953,0.0,1.5707963705062866,-0.0,1.5707963705062866
89,0.0,6.6331658363342285,0.0,1.5707963705062866,-0.0,1.5707963705062866
90,0.0,6.708542823791504,0.0,1.5707963705062866,-0.0,1.5707963705062866
91,0.0,6.783919811248779,0.0,1.5707963705062866,-0.0,1.5707963705062866
92,0.0,6.8592963218688965,0.0,1.5707963705062866,-0.0,1.5707963705062866
93,0.0,6.934673309326172,0.0,1.5707963705062866,-0.0,1.5707963705062866
94,0.0,7.010050296783447,0.0,1.5707963705062866,-0.0,1.5707963705062866
95,0.0,7.085427284240723,0.0,1.5707963705062866,-0.0,1.5707963705062866
96,0.0,7.16080379486084,0.0,1.5707963705062866,-0.0,1.5707963705062866
97,0.0,7.236180782318115,0.0,1.5707963705062866,-0.0,1.5707963705062866
98,0.0,7.311557769775391,0.0,1.5707963705062866,-0.0,1.5707963705062866
99,0.0,7.386934757232666,0.0,1.5707963705062866,-0.0,1.5707963705062866
100,0.0,7.462311744689941,0.0,1.5707963705062866,-0.0,1.5707963705062866
101,0.0,7.537688255310059,0.0,1.5707963705062866,-0.0,1.5707963705062866
102,0.0,7.613065242767334,0.0,1.5707963705062866,-0.0,1.5707963705062866
103,0.0,7.688442230224609,0.0,1.5707963705062866,-0.0,1.5707963705062866
104,0.0,7.763819217681885,0.0,1.5707963705062866,-0.0,1.5707963705062866
105,0.0,7.83919620513916,0.0,1.5707963705062866,-0.0,1.5707963705062866
106,0.0,7.914572715759277,0.0,1.5707963705062866,-0.0,1.5707963705062866
107,0.0,7.989949703216553,0.0,1.5707963705062866,-0.0,1.5707963705062866
108,0.0,8.065326690673828,0.0,1.5707963705062866,-0.0,1.5707963705062866
109,0.0,8.140703201293945,0.0,1.5707963705062866,-0.0,1.5707963705062866
110,0.0,8.216080665588379,0.0,1.5707963705062866,-0.0,1.5707963705062866
111,0.0,8.291457176208496,0.0,1.5707963705062866,-0.0,1.5707963705062866
112,0.0,8.36683464050293,0.0,1.5707963705062866,-0.0,1.5707963705062866
113,0.0,8.442211151123047,0.0,1.5707963705062866,-0.0,1.5707963705062866
114,0.0,8.517587661743164,0.0,1.5707963705062866,-0.0,1.5707963705062866
115,0.0,8.592965126037598,0.0,1.5707963705062866,-0.0,1.5707963705062866
116,0.0,8.668341636657715,0.0,1.5707963705062866,-0.0,1.5707963705062866
117,0.0,8.743718147277832,0.0,1.5707963705062866,-0.0,1.5707963705062866
118,0.0,8.819095611572266,0.0,1.5707963705062866,-0.0,1.5707963705062866
119,0.0,8.894472122192383,0.0,1.5707963705062866,-0.0,1.5707963705062866
120,0.0,8.969849586486816,0.0,1.5707963705062866,-0.0,1.5707963705062866
121,0.0,9.045226097106934,0.0,1.5707963705062866,-0.0,1.5707963705062866
122,0.0,9.12060260772705,0.0,1.5707963705062866,-0.0,1.5707963705062866
123,0.0,9.195980072021484,0.0,1.5707963705062866,-0.0,1.5707963705062866
124,0.0,9.271356582641602,0.0,1.5707963705062866,-0.0,1.5707963705062866
125,0.0,9.346734046936035,0.0,1.5707963705062866,-0.0,1.5707963705062866
126,0.0,9.422110557556152,0.0,1.5707963705062866,-0.0,1.5707963705062866
127,0.0,9.49748706817627,0.0,1.5707963705062866,-0.0,1.5707963705062866
128,0.0,9.572864532470703,0.0,1.5707963705062866,-0.0,1.5707963705062866
129,0.0,9.64824104309082,0.0,1.5707963705062866,-0.0,1.5707963705062866
130,0.0,9.723618507385254,0.0,1.5707963705062866,-0.0,1.5707963705062866
131,0.0,9.798995018005371,0.0,1.5707963705062866,-0.0,1.5707963705062866
132,0.0,9.874371528625488,0.0,1.5707963705062866,-0.0,1.5707963705062866
133,0.0,9.949748992919922,0.0,1.5707963705062866,-0.0,1.5707963705062866
134,0.0,10.025125503540039,0.0,1.5707963705062866,-0.0,1.5707963705062866
135,0.0,10.100502967834473,0.0,1.5707963705062866,-0.0,1.5707963705062866
136,0.0,10.17587947845459,0.0,1.5707963705062866,-0.0,1.5707963705062866
137,0.0,10.251255989074707,0.0,1.5707963705062866,-0.0,1.5707963705062866
138,0.0,10.32663345336914,0.0,1.5707963705062866,-0.0,1.5707963705062866
139,0.0,10.402009963989258,0.0,1.5707963705062866,-0.0,1.5707963705062866
140,0.0,10.477386474609375,0.0,1.5707963705062866,-0.0,1.5707963705062866
141,0.0,10.552763938903809,0.0,1.5707963705062866,-0.0,1.5707963705062866
142,0.0,10.628140449523926,0.0,1.5707963705062866,-0.0,1.5707963705062866
143,0.0,10.70351791381836,0.0,1.5707963705062866,-0.0,1.5707963705062866
144,0.0,10.778894424438477,0.0,1.5707963705062866,-0.0,1.5707963705062866
145,0.0,10.854270935058594,0.0,1.5707963705062866,-0.0,1.5707963705062866
146,0.0,10.929648399353027,0.0,1.5707963705062866,-0.0,1.5707963705062866
147,0.0,11.005024909973145,0.0,1.5707963705062866,-0.0,1.5707963705062866
148,0.0,11.080402374267578,0.0,1.5707963705062866,-0.0,1.5707963705062866
149,0.0,11.155778884887695,0.0,1.5707963705062866,-0.0,1.5707963705062866
150,0.0,11.231155395507812,0.0,1.5707963705062866,-0.0,1.5707963705062866
151,0.0,11.306532859802246,0.0,1.5707963705062866,-0.0,1.5707963705062866
152,0.0,11.381909370422363,0.0,1.5707963705062866,-0.0,1.5707963705062866
153,0.0,11.457286834716797,0.0,1.5707963705062866,-0.0,1.5707963705062866
154,0.0,11.532663345336914,0.0,1.5707963705062866,-0.0,1.5707963705062866
155,0.0,11.608039855957031,0.0,1.5707963705062866,-0.0,1.5707963705062866
156,0.0,11.683417320251465,0.0,1.5707963705062866,-0.0,1.5707963705062866
157,0.0,11.758793830871582,0.0,1.5707963705062866,-0.0,1.5707963705062866
158,0.0,11.834171295166016,0.0,1.5707963705062866,-0.0,1.5707963705062866
159,0.0,11.909547805786133,0.0,1.5707963705062866,-0.0,1.5707963705062866
160,0.0,11.98492431640625,0.0,1.5707963705062866,-0.0,1.5707963705062866
161,0.0,12.060301780700684,0.0,1.5707963705062866,-0.0,1.5707963705062866
162,0.0,12.1356782913208,0.0,1.5707963705062866,-0.0,1.5707963705062866
