frame,x,y,z,x_rot,y_rot,z_rot
1,0.0,-9.511542202744749e-07,-3.099253980624189e-13,1.0314029455184937,-8.881784197001252e-16,1.570796251296997
2,-0.07616043090820312,1.1313910484313965,3.686539855607407e-07,1.0307973623275757,9.313224635931761e-10,1.5958938598632812
3,-0.15231704711914062,2.2627828121185303,7.373082553385757e-07,1.0304696559906006,-1.862645371275562e-09,1.621044635772705
4,-0.22847747802734375,3.394174098968506,1.1059623830078635e-06,1.0304210186004639,-0.0,1.6462167501449585
5,-0.30463409423828125,4.525566577911377,1.4746168517376645e-06,1.0306518077850342,-0.0,1.6713786125183105
6,-0.38079071044921875,5.656957626342773,1.8432709794069524e-06,1.0311609506607056,-0.0,1.6964982748031616
7,-0.5455093383789062,6.77637243270874,2.208022351624095e-06,1.031074047088623,7.450581485102248e-09,1.7215765714645386
8,-0.7726173400878906,7.887350082397461,2.5700248897919664e-06,1.0306494235992432,-0.0,1.7467068433761597
9,-0.999725341796875,8.998326301574707,2.932026973212487e-06,1.0305033922195435,-0.0,1.7718696594238281
10,-1.2268333435058594,10.10930347442627,3.2940290566330077e-06,1.0306366682052612,-1.4901161193847656e-08,1.7970330715179443
11,-1.4539413452148438,11.220279693603516,3.6560311400535284e-06,1.0310487747192383,-0.0,1.822165608406067
12,-1.7244110107421875,12.319348335266113,4.014153546449961e-06,1.0312987565994263,7.4505797087454084e-09,1.8472436666488647
13,-2.0965957641601562,13.390480995178223,4.363173047750024e-06,1.0307955741882324,-0.0,1.8723558187484741
14,-2.468780517578125,14.461614608764648,4.712192549050087e-06,1.03057062625885,-0.0,1.8975095748901367
15,-2.8409652709960938,15.532748222351074,5.06121205035015e-06,1.0306246280670166,-0.0,1.922672986984253
16,-3.2131500244140625,16.603879928588867,5.410231096902862e-06,1.030957818031311,-1.4901161193847656e-08,1.9478144645690918
17,-3.5987167358398438,17.669361114501953,5.757408416684484e-06,1.0314263105392456,-0.0,1.972902774810791
18,-4.107391357421875,18.682817459106445,6.087634574214462e-06,1.0308668613433838,-0.0,1.9980031251907349
19,-4.616065979003906,19.696273803710938,6.41786073174444e-06,1.0305850505828857,-0.0,2.023151397705078
20,-5.124748229980469,20.70973014831543,6.748085979779717e-06,1.0305821895599365,1.4901161193847656e-08,2.04831600189209
21,-5.633426666259766,21.723186492919922,7.078312137309695e-06,1.0308585166931152,-0.0,2.07346510887146
22,-6.142101287841797,22.73664093017578,7.408538294839673e-06,1.0314127206802368,-0.0,2.0985665321350098
23,-6.771091461181641,23.679664611816406,7.715813808317762e-06,1.0308822393417358,-0.0,2.1236610412597656
24,-7.405853271484375,24.619306564331055,8.021987923712004e-06,1.0305640697479248,-1.4901162970204496e-08,2.1488072872161865
